start,end,fmin,fmax,category
56.55987335693269,56.62404317160447,,,
56.73774771190825,56.95402341121719,,,
58.18,58.2,,,
58.53,58.54,,,
59.64,59.66,,,
60.32437756737073,60.93331203693435,,,
61.02343841229166,61.18894113796098,,,
61.33359171674365,61.4837934193157,,,
61.965009438622566,62.03594696971632,,,
62.08,62.11,,,
62.68,62.71,,,
62.74,62.77,,,
63.01,63.04,,,
63.33,63.35,,,
64.72,64.74,,,
64.85,64.87,,,
65.62,65.63,,,
68.00858131180208,68.12536105306376,,,
68.39,68.42,,,
70.00738075449354,70.08507976865484,,,
70.12,70.14,,,
70.21458300310941,70.26486015596561,,,
70.43485208133856,70.55003394847824,,,
70.88,70.89,,,
70.94,71.00366635236001,,,
71.08,71.15771670923347,,,
71.33,71.36,,,
71.75,71.78,,,
72.76,72.77,,,
72.94,72.96,,,
74.16,74.21971274275155,,,
74.22,74.27014843424162,,,
75.84,75.90231782869215,,,
76.36,76.42251001675925,,,
80.51,80.52,,,
84.05168880360468,84.26682870064462,,,
88.09113773554563,88.15865247632776,,,
88.33,88.35,,,
88.4,88.42,,,
88.48405954128219,88.55128620367675,,,
88.5557486125685,88.64,,,
88.67,88.72,,,
88.73,88.83066419492165,,,
88.93,88.99917755853562,,,
89.54,89.56,,,
93.02,93.06919990655922,,,
93.46,93.47,,,
95.69,95.71,,,
96.46,96.48,,,
96.49046563703388,96.54795860917795,,,
96.82,96.84,,,
97.08,97.20549749831358,,,
97.26,97.32707557422772,,,
97.62,97.65,,,
97.93,97.94,,,
98.6,98.61,,,
102.5,102.56668625953652,,,
102.81,102.83,,,
104.17,104.19,,,
104.1986554717308,104.26425183954692,,,
104.97,104.99,,,
105.57,105.6,,,
106.02839481464454,106.07325554752632,,,
106.16,106.17,,,
106.22,106.24,,,
107.01,107.02,,,
107.6,107.68131905208033,,,
111.21,111.22,,,
111.84,111.86,,,
112.58,112.59,,,
112.61018688824916,112.65376231590908,,,
113.27,113.29,,,
118.03,118.05,,,
120.1,120.12,,,
120.13581772719112,120.18539628439008,,,
120.55,120.6181052757161,,,
122.01,122.10348327480612,,,
122.14,122.2180384353229,,,
122.24,122.28,,,
122.28498636611872,122.33,,,
122.3311324942254,122.39150314887364,,,
122.53,122.56,,,
122.5665650052258,122.610311588645,,,
122.6280290491666,122.6689869260788,,,
122.6960689577886,122.73909884447144,,,
122.75,122.77,,,
122.83,122.84,,,
122.85109678807711,122.9010793384342,,,
125.04,125.05,,,
125.8215341202702,125.89593913265637,,,
126.02477950949044,126.10761123115108,,,
126.52,126.59619851313886,,,
126.79,126.8,,,
126.80490119841836,126.85500726248536,,,
127.1,127.17347704844816,,,
127.23,127.25,,,
127.26037362347046,127.30672541008109,,,
127.33,127.36,,,
127.36010309879268,127.4059496804504,,,
127.41,127.43,,,
127.43599699211973,127.47602925256604,,,
127.68,127.7,,,
127.78,127.98433503527018,,,
129.32,129.33,,,
132.18,132.19,,,
132.21031854036306,132.27829970408055,,,
132.46,132.5,,,
132.61,132.64,,,
132.75,132.77,,,
132.87,132.91,,,
132.91192530873275,132.9544772806338,,,
133.03,133.06,,,
133.11,133.14,,,
133.22,133.25,,,
133.25313650281657,133.32183549997353,,,
133.45,133.54,,,
134.61,134.63,,,
135.54,135.56,,,
135.69,135.7,,,
139.7,139.72,,,
141.37,141.39,,,
142.92,142.93,,,
147.82,147.84,,,
152.22,152.3232394138972,,,
154.02220862109036,154.12921330471832,,,
154.37,154.4,,,
154.73,154.84,,,
155.04,155.08,,,
155.08837560484807,155.18229622412295,,,
155.68,155.69,,,
155.75,155.77,,,
155.84,155.86,,,
155.86561373405513,156.05789170608634,,,
158.08,158.09,,,
158.28,158.3,,,
158.35,158.37,,,
158.5,158.59224749550933,,,
158.77,158.79,,,
160.89,160.9,,,
161.36,161.38,,,
161.4066246712066,161.44682302232297,,,
161.61673357735788,161.66589166654717,,,
162.66,162.67,,,
